run,dir,cut,mode,mm,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s
19,BA,c30,general,2,146.58,37.32,7.97,5.44,6.62,9.19,7.03,15.01
19,BA,turn,general,2,97.41,26.95,7.96,8.17,6.36,8.21,6.96,15.01
20,AB,c10,general,2,272.8,67.49,9.82,3.6,9.6,11.87,9.46,15.0
20,AB,c30,general,2,173.64,47.49,10.11,5.82,9.08,11.14,9.76,15.0
20,AB,c60,general,2,49.42,17.49,2.52,5.1,2.57,3.41,2.51,15.0
20,AB,turn,general,2,224.2,58.28,9.96,4.44,9.06,11.48,9.6,15.0
21,BA,c10,general,2,277.75,72.21,17.14,6.17,11.91,17.88,16.75,15.0
21,BA,c30,general,2,187.39,52.21,13.05,6.96,7.12,13.05,8.28,15.0
21,BA,c60,general,2,63.61,22.21,3.85,6.05,6.42,8.19,3.96,15.0
21,BA,turn,general,2,98.83,31.44,5.99,6.06,7.04,9.17,6.04,15.0
