t_ns,gx,gy,gz
19031300083032,-0.43984887,8.932168,4.024091
19031304841417,-0.44532603,8.93201,4.0238404
19031309599854,-0.44847727,8.931935,4.0236564
19031314358240,-0.4495123,8.931931,4.02355
19031319116625,-0.44822463,8.931992,4.023557
19031323875011,-0.44564098,8.932131,4.023534
19031328633396,-0.44208273,8.932332,4.0234795
19031333391834,-0.4385824,8.9324665,4.023566
19031338150219,-0.4357296,8.932492,4.0238185
19031342908604,-0.43376893,8.932557,4.0238843
19031347666990,-0.43264753,8.9326725,4.02375
19031352425375,-0.43194187,8.932593,4.0240045
19031357183761,-0.43107113,8.932353,4.024628
19031361942198,-0.4294191,8.932246,4.02504
19031366700584,-0.42669484,8.932356,4.0250883
19031371458969,-0.42308685,8.932499,4.0251555
19031376217354,-0.4189791,8.93261,4.0253367
19031380975740,-0.41480523,8.9327345,4.0254908
19031385734177,-0.41089743,8.933004,4.0252924
19031390492563,-0.4075449,8.933229,4.0251327
19031395250948,-0.4047977,8.933415,4.0250006
19031400009334,-0.4023192,8.933539,4.0249715
19031404767719,-0.40028846,8.933651,4.0249276
19031409526104,-0.39784572,8.933802,4.024833
19031414284542,-0.3946205,8.933924,4.0248804
19031419042927,-0.39046353,8.93411,4.0248733
19031423801313,-0.38552833,8.934453,4.0245876
19031428559698,-0.38043594,8.934737,4.02444
19031433318084,-0.3753211,8.935146,4.0240135
19031438076521,-0.3708987,8.935467,4.0237117
19031442834907,-0.3673943,8.935383,4.024221
19031447593292,-0.3648842,8.935268,4.0247016
19031452351625,-0.36335623,8.935414,4.024518
19031457110063,-0.36261317,8.935494,4.0244074
19031461868448,-0.3623816,8.935082,4.0253406
19031466626886,-0.3624762,8.934512,4.026599
19031471385271,-0.36292595,8.934136,4.027392
19031476143657,-0.3638519,8.933746,4.028173
19031480902042,-0.36484075,8.933347,4.02897
19031485660427,-0.36609322,8.933195,4.029193
19031490418813,-0.36774722,8.933236,4.0289507
19031495177250,-0.36989117,8.933089,4.02908
19031499935636,-0.37262908,8.932777,4.029519
19031504694021,-0.37541458,8.932725,4.029377
19031509452407,-0.37795565,8.932792,4.0289917
19031514210792,-0.37989172,8.93291,4.0285473
19031518969229,-0.3816583,8.933065,4.0280337
19031523727615,-0.38315484,8.9332285,4.0275283
19031528486000,-0.38446587,8.933306,4.0272346
19031533244386,-0.38571256,8.933328,4.0270677
19031538002771,-0.3872879,8.933289,4.0270014
19031542761209,-0.38945898,8.933165,4.027066
19031547519594,-0.391766,8.932892,4.0274506
19031552277979,-0.39457965,8.932563,4.027903
19031557036365,-0.3970918,8.9322605,4.0283284
19031561794750,-0.3996047,8.931977,4.028708
19031566553136,-0.4019626,8.931761,4.0289536
19031571311521,-0.40391815,8.931499,4.0293374
19031576069959,-0.40578228,8.931362,4.029457
19031580828344,-0.40772337,8.931246,4.029515
19031585586729,-0.40987095,8.931232,4.0293293
19031590345115,-0.41233423,8.931221,4.029101
19031595103500,-0.41501835,8.931378,4.0284786
19031599861938,-0.41771922,8.931636,4.027628
19031604620323,-0.42043418,8.93187,4.0268235
19031609378709,-0.42299196,8.93189,4.026515
19031614137094,-0.42516112,8.93194,4.0261726
19031618895479,-0.42688537,8.932059,4.025725
19031623653917,-0.42810637,8.932146,4.025404
19031628412302,-0.4288077,8.932058,4.025524
19031633170688,-0.42942822,8.931866,4.0258865
19031637929073,-0.4303056,8.931733,4.026085
19031642687459,-0.43158624,8.931567,4.0263176
19031647445792,-0.43318206,8.931391,4.0265346
19031652204282,-0.43524176,8.931218,4.0266976
19031656962667,-0.43747038,8.931254,4.026375
19031661721000,-0.43951634,8.931278,4.0261
19031666479438,-0.4414244,8.931404,4.025612
19031671237823,-0.44271228,8.931568,4.0251045
19031675996209,-0.44328043,8.931701,4.0247507
19031680754646,-0.4431337,8.931868,4.024395
19031685513032,-0.44261846,8.932084,4.0239706
19031690271417,-0.44170123,8.932223,4.0237646
19031695029802,-0.44040132,8.932383,4.023554
19031699788188,-0.43922433,8.93255,4.0233088
19031704546573,-0.4386423,8.932845,4.022717
19031709305011,-0.4382126,8.933175,4.022031
19031714063396,-0.4380383,8.933397,4.021556
19031718821782,-0.43805382,8.933486,4.021357
19031723580167,-0.43797612,8.933598,4.021117
19031728338552,-0.437736,8.933787,4.020723
19031733096938,-0.43722808,8.93395,4.0204163
19031737855375,-0.4366804,8.934003,4.0203586
19031742613761,-0.43601978,8.933924,4.0206065
19031747372146,-0.4355897,8.93377,4.0209947
19031752130532,-0.43497157,8.933546,4.0215597
19031756888917,-0.43409574,8.933391,4.0219984
19031761647250,-0.43296623,8.933294,4.022334
19031766405740,-0.4315348,8.93312,4.022876
19031771164125,-0.42941692,8.932971,4.023434
19031775922511,-0.42683643,8.932964,4.0237236
19031780680896,-0.42378867,8.933086,4.023774
19031785439282,-0.42052308,8.933288,4.023669
19031790197719,-0.41750708,8.933592,4.023308
19031794956104,-0.41493216,8.933874,4.022948
19031799714490,-0.41312778,8.934242,4.022315
19031804472875,-0.4118681,8.934958,4.020852
19031809231261,-0.41101164,8.935948,4.0187426
19031813989646,-0.41042927,8.936496,4.0175824
19031818748032,-0.41082546,8.937062,4.016282
19031823506469,-0.4105796,8.938757,4.0125365
