t_ns,ax,ay,az,accuracy
19030933035271,-0.2536392,9.006584,4.0295134,3
19030935414438,-0.2632105,9.030513,4.0151563,3
19030937793657,-0.24885355,9.030513,4.0103707,3
19030940172823,-0.2536392,9.016156,3.9864426,3
19030942552042,-0.2632105,8.997013,4.019942,3
19030944931261,-0.26799613,9.001799,4.048656,3
19030947310427,-0.30149564,8.9826565,4.034299,3
19030949689646,-0.31585258,8.973084,4.019942,3
19030952068813,-0.33499518,9.001799,4.034299,3
19030954448032,-0.36370903,9.01137,4.0295134,3
19030956827250,-0.37328035,8.997013,4.0390844,3
19030959206417,-0.3924229,8.9826565,4.0438704,3
19030961585636,-0.43070808,8.968299,4.082155,3
19030963964802,-0.44506502,8.973084,4.0773697,3
19030966344021,-0.43070808,8.977871,4.0438704,3
19030968723240,-0.41156548,8.997013,4.0534415,3
19030971102407,-0.43070808,9.020942,4.058227,3
19030973481625,-0.40677986,9.006584,4.063013,3
19030975860792,-0.38285163,9.001799,4.063013,3
19030978240011,-0.3589234,9.01137,4.0534415,3
19030980619229,-0.33020952,9.025727,4.0390844,3
19030982998396,-0.29671,9.030513,4.0390844,3
19030985377615,-0.2727818,9.025727,4.0534415,3
19030987756782,-0.26799613,9.025727,4.048656,3
19030990136000,-0.2440679,9.040084,4.0438704,3
19030992515219,-0.25842485,9.044869,4.019942,3
19030994894386,-0.27756742,9.025727,4.019942,3
19030997273604,-0.27756742,9.040084,4.024728,3
19030999652771,-0.3062813,9.040084,4.019942,3
19031002031990,-0.33499518,9.064013,4.0295134,3
19031004411209,-0.35413775,9.064013,4.0438704,3
19031006790375,-0.38285163,9.064013,4.034299,3
19031009169594,-0.4211368,9.064013,4.034299,3
19031011548761,-0.4354937,9.0544405,4.005585,3
19031013927979,-0.44027936,9.0544405,3.991228,3
19031016307198,-0.4546363,9.068798,3.9960139,3
19031018686365,-0.4354937,9.078369,4.0007997,3
19031021065584,-0.41156548,9.064013,4.019942,3
19031023444750,-0.37806597,9.030513,4.048656,3
19031025823969,-0.3397808,9.035298,4.048656,3
19031028203188,-0.31585258,9.040084,4.0295134,3
19031030582354,-0.25842485,9.030513,4.019942,3
19031032961573,-0.2105684,9.020942,4.0007997,3
19031035340740,-0.18664017,9.006584,4.0103707,3
19031037719959,-0.14356937,9.006584,4.019942,3
19031040099125,-0.124426775,8.977871,4.0438704,3
19031042478344,-0.124426775,8.9826565,4.0390844,3
19031044857563,-0.148355,8.9826565,4.063013,3
19031047236729,-0.148355,9.006584,4.0390844,3
19031049615896,-0.18185452,9.01137,4.019942,3
19031051995115,-0.19621146,8.997013,4.019942,3
19031054374334,-0.20578274,8.987442,4.0390844,3
19031056753552,-0.22013968,8.9826565,4.0677986,3
19031059132719,-0.23449662,8.997013,4.072584,3
19031061511938,-0.22971097,8.997013,4.091727,3
19031063891157,-0.22971097,8.987442,4.091727,3
19031066270323,-0.23928227,8.997013,4.072584,3
19031068649542,-0.22971097,8.992228,4.058227,3
19031071028709,-0.2440679,9.020942,4.0869412,3
19031073407927,-0.25842485,8.997013,4.072584,3
19031075787146,-0.26799613,8.997013,4.0965123,3
19031078166313,-0.2632105,8.977871,4.0965123,3
19031080545532,-0.30149564,9.006584,4.1204405,3
19031082924698,-0.3493521,9.016156,4.091727,3
19031085303917,-0.38285163,9.001799,4.0773697,3
19031087683136,-0.4211368,8.992228,4.063013,3
19031090062302,-0.4546363,8.992228,4.048656,3
19031092441521,-0.4642076,8.992228,4.058227,3
19031094820688,-0.45942193,8.987442,4.063013,3
19031097199907,-0.41635114,8.963513,4.0677986,3
19031099579125,-0.3684947,8.958728,4.0390844,3
19031101958292,-0.3397808,8.968299,4.0295134,3
19031104337511,-0.29192436,8.977871,4.0295134,3
19031106716677,-0.24885355,8.977871,4.0151563,3
19031109095896,-0.22971097,8.992228,4.024728,3
19031111475063,-0.2009971,8.992228,4.072584,3
19031113854282,-0.22492532,8.9826565,4.0295134,3
19031116233500,-0.16271193,9.006584,4.019942,3
19031118612667,-0.13878371,9.020942,4.019942,3
19031120991886,-0.2009971,8.973084,4.024728,3
19031123371104,-0.2009971,8.977871,4.048656,3
19031125750271,-0.18664017,8.968299,4.0677986,3
19031128129490,-0.23928227,8.9826565,4.0534415,3
19031130508657,-0.2536392,8.958728,4.0534415,3
19031132887875,-0.26799613,8.973084,4.0295134,3
19031135267094,-0.25842485,8.987442,4.0295134,3
19031137646261,-0.2727818,8.977871,4.048656,3
19031140025479,-0.28235307,8.953942,4.058227,3
19031142404646,-0.28713873,8.958728,4.0965123,3
19031144783865,-0.25842485,8.968299,4.058227,3
19031147163084,-0.22971097,8.968299,4.063013,3
19031149542250,-0.20578274,8.968299,4.072584,3
19031151921469,-0.18664017,9.001799,4.072584,3
19031154300636,-0.18185452,9.01137,4.125226,3
19031156679854,-0.24885355,9.006584,4.130012,3
19031159059073,-0.27756742,9.01137,4.1491547,3
19031161438240,-0.32063824,9.01137,4.091727,3
19031163817459,-0.36370903,9.006584,4.0534415,3
19031166196625,-0.38763726,9.030513,4.034299,3
19031168575844,-0.4546363,9.016156,4.0438704,3
19031170955011,-0.49292147,9.01137,4.082155,3
19031173334229,-0.56470615,9.020942,4.106084,3
19031175713448,-0.6269195,9.016156,4.130012,3
19031178092615,-0.6939186,9.030513,4.125226,3
19031180471834,-0.74177504,9.025727,4.1108694,3
19031182851000,-0.80877405,9.030513,4.1347976,3
19031185230219,-0.9379865,9.08794,4.058227,3
19031187609438,-0.8805587,9.049655,4.024728,3
19031189988604,-0.83748794,9.059227,4.058227,3
19031192367823,-0.9092726,9.059227,4.048656,3
19031194746990,-0.86141616,9.059227,4.1204405,3
19031197126209,-0.76570326,9.030513,4.15394,3
19031199505427,-0.72741807,9.064013,4.139583,3
19031201884594,-0.6364908,9.059227,4.082155,3
19031204263813,-0.4833502,9.049655,4.072584,3
19031206642979,-0.3924229,9.01137,4.0390844,3
19031209022198,-0.30149564,9.030513,4.0295134,3
19031211401417,-0.19142582,9.025727,4.0869412,3
