t_ns,ax,ay,az,accuracy
18826744816225,-1.1724831,8.853444,4.1922255,3
18826747195496,-1.1006985,8.853444,4.173083,3
18826749574715,-1.0289137,8.863015,4.1491547,3
18826751953986,-0.9906286,8.882157,4.115655,3
18826754333256,-0.9762716,8.896515,4.1108694,3
18826756712475,-0.98584294,8.882157,4.106084,3
18826759091746,-1.0289137,8.891729,4.130012,3
18826761470965,-1.0767702,8.877372,4.130012,3
18826763850236,-1.1246266,8.915657,4.106084,3
18826766229454,-1.2011969,8.915657,4.1108694,3
18826768608725,-1.2969099,8.9013,4.0773697,3
18826770987944,-1.3639089,8.896515,4.0534415,3
18826773367215,-1.4500505,8.915657,4.024728,3
18826775746434,-1.564906,8.930014,4.0295134,3
18826778125704,-1.6223338,8.9348,4.0390844,3
18826780504923,-1.6893328,8.9348,4.048656,3
18826782884194,-1.7324036,8.939586,4.019942,3
18826785263465,-1.7563318,8.953942,4.0007997,3
18826787642684,-1.7563318,8.968299,4.005585,3
18826790021954,-1.7228323,8.973084,4.0007997,3
18826792401173,-1.6845472,8.9826565,3.9960139,3
18826794780444,-1.6366907,8.973084,4.019942,3
18826797159663,-1.5936198,8.9826565,4.024728,3
18826799538934,-1.5170496,8.963513,4.034299,3
18826801918152,-1.4548361,8.949157,4.024728,3
18826804297423,-1.3591232,8.944371,4.024728,3
18826806676642,-1.2777673,8.930014,4.0295134,3
18826809055913,-1.2011969,8.939586,4.0295134,3
18826811435131,-1.1294123,8.949157,4.024728,3
18826813814402,-1.1102697,8.973084,4.0390844,3
18826816193621,-1.0671989,8.968299,4.0534415,3
18826818572892,-1.0432707,8.9348,4.0773697,3
18826820952163,-1.0576276,8.944371,4.0773697,3
18826823331381,-1.0576276,8.958728,4.063013,3
18826825710600,-1.0815558,8.944371,4.058227,3
18826828089871,-1.0863415,8.949157,4.072584,3
18826830469142,-1.1294123,8.930014,4.063013,3
18826832848361,-1.1820544,8.944371,4.0677986,3
18826835227631,-1.2107682,8.915657,4.0677986,3
18826837606850,-1.2586247,8.925228,4.058227,3
18826839986121,-1.2873386,8.930014,4.072584,3
18826842365340,-1.3399807,8.930014,4.058227,3
18826844744611,-1.3304094,8.930014,4.0438704,3
18826847123829,-1.3639089,8.920443,4.0438704,3
18826849503100,-1.402194,8.920443,4.034299,3
18826851882371,-1.4261223,8.9108715,4.0390844,3
18826854261590,-1.4117653,8.920443,4.034299,3
18826856640861,-1.4069797,8.920443,4.0103707,3
18826859020079,-1.416551,8.925228,4.0103707,3
