t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=572.9 s=0.0 count=0 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-4.2 s=903.7 count=1 corridors=2"
1.264,RECOG,"SNU_R1 fix=2 d=572.9 s=0.0 count=0 corridors=2"
1.264,RECOG,"SNU_R2 fix=2 d=-4.2 s=903.7 count=2 corridors=2"
2.132,RECOG,"SNU_R1 fix=3 d=572.9 s=0.0 count=0 corridors=2"
2.132,RECOG,"SNU_R2 fix=3 d=-4.2 s=903.7 count=3 corridors=2"
3.131,RECOG,"SNU_R1 fix=4 d=572.9 s=0.0 count=0 corridors=2"
3.131,RECOG,"SNU_R2 fix=4 d=-4.2 s=903.7 count=4 corridors=2"
4.136,RECOG,"SNU_R1 fix=5 d=572.9 s=0.0 count=0 corridors=2"
4.136,RECOG,"SNU_R2 fix=5 d=-4.2 s=903.7 count=5 corridors=2"
5.135,RECOG,"SNU_R1 fix=6 d=572.9 s=0.0 count=0 corridors=2"
5.135,RECOG,"SNU_R2 fix=6 d=-4.2 s=903.7 count=6 corridors=2"
6.134,RECOG,"SNU_R1 fix=7 d=572.9 s=0.0 count=0 corridors=2"
6.134,RECOG,"SNU_R2 fix=7 d=-4.2 s=903.7 count=7 corridors=2"
7.136,RECOG,"SNU_R1 fix=8 d=572.9 s=0.0 count=0 corridors=2"
7.136,RECOG,"SNU_R2 fix=8 d=-4.2 s=903.7 count=8 corridors=2"
7.136,CORRIDOR,"recognised SNU_R2 (Circular Rd) s=903.7 d=-4.2 s_start=903.7"
15.001,ALIGN,"stand g=9.869 pitch=2.89 roll=67.75 bias_dps=[0.012 -0.007 0.037] quiet=true qfrac=1.00 rot=0.91deg"
15.001,PHASE,"RIDE"
22.139,MOTION_START,"v=1.61"
24.200,DIRECTION,"BA"
28.140,ALIGN,"psi=25.71 (init) pitch=2.89 roll=67.75 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=25.71 (init) pitch=1.72 roll=68.28 blocks=1 moved_at=NaN sway_ratio=NaN"
