t_s,lat,lon,x_m,y_m,v,heading_deg,mode,sim,k,sigma_pos,v_model,sigma_model,stop,tick_ms,model_ms,corridor_id,s_m,d_m
0.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
0.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.004,0.000,,,
0.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.003,0.000,,,
0.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.003,0.000,,,
0.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.003,0.000,,,
0.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.017,0.000,,,
0.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.006,0.000,,,
0.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.005,0.000,,,
0.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.005,0.000,,,
0.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.004,0.000,,,
1.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.004,0.000,,,
1.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.003,0.000,,,
1.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.016,0.000,,,
1.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
1.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.013,0.000,,,
1.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.011,0.000,,,
1.600,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.358,0.000,,,
1.700,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.024,0.000,,,
1.800,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.012,0.000,,,
1.900,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.013,0.000,,,
2.000,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.016,0.000,,,
2.100,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.377,0.000,,,
2.200,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.008,0.000,,,
2.300,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.006,0.000,,,
2.400,28.52591508,77.57070860,-0.100,0.156,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.025,0.000,,,
2.500,28.52591508,77.57070860,-0.099,0.156,0.021,0.000,GNSS_INS,0,1.0000,2.352,0.098,0.207,0,0.201,0.164,,,
2.600,28.52591508,77.57070864,-0.096,0.156,0.039,0.000,GNSS_INS,0,1.0000,2.352,0.078,0.209,0,0.434,0.093,,,
2.700,28.52591508,77.57070867,-0.093,0.156,0.026,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.224,0,0.108,0.081,,,
2.800,28.52591508,77.57070875,-0.085,0.156,0.077,0.000,GNSS_INS,0,1.0000,2.352,0.182,0.233,0,0.096,0.082,,,
