t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=-422.9 s=213.6 count=0 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=0.1 s=20.4 count=1 corridors=2"
1.573,RECOG,"SNU_R1 fix=2 d=-422.9 s=213.6 count=0 corridors=2"
1.573,RECOG,"SNU_R2 fix=2 d=0.1 s=20.4 count=2 corridors=2"
2.873,RECOG,"SNU_R1 fix=3 d=-423.0 s=213.6 count=0 corridors=2"
2.873,RECOG,"SNU_R2 fix=3 d=0.1 s=20.3 count=3 corridors=2"
3.879,RECOG,"SNU_R1 fix=4 d=-422.8 s=213.6 count=0 corridors=2"
3.879,RECOG,"SNU_R2 fix=4 d=0.1 s=20.5 count=4 corridors=2"
4.879,RECOG,"SNU_R1 fix=5 d=-422.7 s=213.6 count=0 corridors=2"
4.879,RECOG,"SNU_R2 fix=5 d=0.0 s=20.6 count=5 corridors=2"
5.881,RECOG,"SNU_R1 fix=6 d=-422.7 s=213.6 count=0 corridors=2"
5.881,RECOG,"SNU_R2 fix=6 d=-0.1 s=20.6 count=6 corridors=2"
6.874,RECOG,"SNU_R1 fix=7 d=-422.8 s=213.6 count=0 corridors=2"
6.874,RECOG,"SNU_R2 fix=7 d=-0.0 s=20.4 count=7 corridors=2"
7.873,RECOG,"SNU_R1 fix=8 d=-422.7 s=213.6 count=0 corridors=2"
7.873,RECOG,"SNU_R2 fix=8 d=-0.1 s=20.5 count=8 corridors=2"
7.873,CORRIDOR,"recognised SNU_R2 (Circular Rd) s=20.5 d=-0.1 s_start=20.5"
15.005,ALIGN,"stand g=9.553 pitch=3.26 roll=47.58 bias_dps=[0.213 0.101 1.370] quiet=false qfrac=0.00 rot=26.40deg"
15.005,PHASE,"RIDE"
52.879,MOTION_START,"v=1.37"
53.900,DIRECTION,"AB"
58.880,ALIGN,"psi=80.69 (init) pitch=3.26 roll=47.58 blocks=0 moved_at=NaN sway_ratio=NaN"
65.010,ALIGN,"psi=80.69 (init) pitch=-0.01 roll=64.85 blocks=1 moved_at=NaN sway_ratio=NaN"
73.880,ALIGN,"psi=87.16 (sway) pitch=-0.01 roll=64.85 blocks=1 moved_at=NaN sway_ratio=29.7"
75.010,ALIGN,"psi=87.16 (sway) pitch=-0.00 roll=64.73 blocks=2 moved_at=NaN sway_ratio=29.7"
83.880,ALIGN,"psi=88.29 (sway) pitch=-0.00 roll=64.73 blocks=2 moved_at=NaN sway_ratio=30.1"
85.010,ALIGN,"psi=88.29 (sway) pitch=-0.03 roll=64.63 blocks=3 moved_at=NaN sway_ratio=30.1"
93.880,ALIGN,"psi=89.08 (sway) pitch=-0.03 roll=64.63 blocks=3 moved_at=NaN sway_ratio=22.9"
95.010,ALIGN,"psi=89.08 (sway) pitch=-0.02 roll=64.47 blocks=4 moved_at=NaN sway_ratio=22.9"
103.880,ALIGN,"psi=89.97 (sway) pitch=-0.02 roll=64.47 blocks=4 moved_at=NaN sway_ratio=20.2"
105.010,ALIGN,"psi=89.97 (sway) pitch=0.01 roll=64.34 blocks=5 moved_at=NaN sway_ratio=20.2"
109.880,SIM_ENTER,"armed=false"
109.900,MODE,"GNSS_INS->INERTIAL sim"
109.900,BAND_ENTER,""
113.880,ALIGN,"psi=90.38 (sway) pitch=0.01 roll=64.34 blocks=5 moved_at=NaN sway_ratio=19.2"
115.010,ALIGN,"psi=90.38 (sway) pitch=-0.04 roll=64.23 blocks=6 moved_at=NaN sway_ratio=19.2"
123.880,ALIGN,"psi=90.12 (sway) pitch=-0.04 roll=64.23 blocks=6 moved_at=NaN sway_ratio=19.3"
125.010,ALIGN,"psi=90.12 (sway) pitch=-0.05 roll=64.24 blocks=7 moved_at=NaN sway_ratio=19.3"
133.880,ALIGN,"psi=90.24 (sway) pitch=-0.05 roll=64.24 blocks=7 moved_at=NaN sway_ratio=22.2"
