t_ns,ax,ay,az,accuracy
30768273925995,-0.37328035,9.150154,3.737589,3
30768276304902,-0.37806597,9.159725,3.7423747,3
30768278683808,-0.3924229,9.15494,3.7471602,3
30768281062714,-0.3684947,9.19801,3.737589,3
30768283441672,-0.32063824,9.202796,3.7567315,3
30768285820579,-0.29192436,9.2075815,3.7615173,3
30768288199485,-0.29192436,9.221938,3.7471602,3
30768290578443,-0.25842485,9.23151,3.7423747,3
30768292957349,-0.2105684,9.241081,3.7184465,3
30768295336256,-0.16749759,9.269794,3.6849468,3
30768297715214,-0.15314065,9.274581,3.6897326,3
30768300094120,-0.13878371,9.288938,3.67059,3
30768302473027,-0.11006984,9.293723,3.656233,3
30768304851933,-0.09092726,9.298509,3.6610186,3
30768307230891,-0.0526421,9.255438,3.6370904,3
30768309609797,-0.05742774,9.23151,3.6466618,3
30768311988704,-0.062213387,9.221938,3.656233,3
30768314367662,-0.07178468,9.193225,3.656233,3
30768316746568,-0.1052842,9.174082,3.6753755,3
30768319125474,-0.11964113,9.15494,3.6897326,3
30768321504381,-0.17228323,9.131011,3.6993039,3
30768323883339,-0.2105684,9.150154,3.6801612,3
30768326262245,-0.25842485,9.126225,3.6849468,3
30768328641152,-0.30149564,9.116654,3.6993039,3
30768331020110,-0.35413775,9.126225,3.7184465,3
30768333399016,-0.35413775,9.107083,3.7040894,3
30768335777922,-0.3684947,9.102298,3.7088752,3
30768338156881,-0.38763726,9.107083,3.7328033,3
30768340535787,-0.3684947,9.111869,3.751946,3
30768342914693,-0.3684947,9.097511,3.737589,3
30768345293652,-0.3684947,9.092726,3.7710886,3
30768347672558,-0.35413775,9.083155,3.7950168,3
30768350051464,-0.35413775,9.064013,3.818945,3
30768352430370,-0.34456646,9.064013,3.842873,3
30768354809329,-0.35413775,9.064013,3.871587,3
30768357188235,-0.3589234,9.044869,3.8763726,3
30768359567141,-0.34456646,9.035298,3.9050865,3
30768361946099,-0.3397808,9.030513,3.9433718,3
30768364325006,-0.35413775,9.01137,3.9433718,3
30768366703912,-0.3397808,9.01137,3.9481573,3
30768369082818,-0.33020952,8.968299,3.952943,3
30768371461724,-0.3493521,8.953942,3.9481573,3
