t_ns,mx,my,mz,bx,by,bz
31768110010733,36.675003,14.625001,13.481251,3.24,13.62,8.76
31768120010733,38.7,14.26875,11.400001,3.24,13.62,8.76
31768130010733,35.643753,15.618751,12.0375,3.24,13.62,8.76
31768140010733,37.725002,16.78125,10.9875,3.24,13.62,8.76
31768150010733,35.943752,15.656251,12.3,3.24,13.62,8.76
31768160010733,38.30625,15.6,10.950001,3.24,13.62,8.76
31768170010733,36.75,15.76875,11.90625,3.24,13.62,8.76
31768180010733,36.018753,13.293751,12.056251,3.24,13.62,8.76
31768190010733,35.79375,15.01875,13.875001,3.24,13.62,8.76
31768200010733,38.193752,14.700001,9.918751,3.24,13.62,8.76
31768210010733,35.30625,15.58125,12.39375,3.24,13.62,8.76
31768220010733,38.98125,14.94375,11.043751,3.24,13.62,8.76
31768230010733,36.65625,14.625001,13.950001,3.24,13.62,8.76
31768240010733,37.55625,14.7375,10.6125,3.24,13.62,8.76
31768250010733,36.9,15.543751,11.26875,3.24,13.62,8.76
31768260010733,35.8875,14.775001,9.88125,3.24,13.62,8.76
31768270010733,38.456253,16.5,10.9125,3.24,13.62,8.76
31768280010733,37.3875,15.337501,9.543751,3.24,13.62,8.76
31768290010733,37.987503,15.675,11.606251,3.24,13.62,8.76
31768300010733,38.90625,14.681251,11.83125,3.24,13.62,8.76
31768310010733,35.8875,16.275002,12.450001,3.24,13.62,8.76
31768320010733,35.381252,13.81875,10.743751,3.24,13.62,8.76
31768330010733,36.768753,16.78125,11.71875,3.24,13.62,8.76
31768340010733,37.21875,14.700001,11.26875,3.24,13.62,8.76
31768350010733,36.9,15.918751,12.806251,3.24,13.62,8.76
31768360010733,35.775,15.13125,10.35,3.24,13.62,8.76
31768370010733,36.65625,16.3875,13.125001,3.24,13.62,8.76
31768380010733,36.9375,15.918751,11.71875,3.24,13.62,8.76
31768390010733,35.850002,15.01875,12.0375,3.24,13.62,8.76
31768400010733,37.443752,15.225,11.83125,3.24,13.62,8.76
31768410010733,37.93125,16.425001,12.825001,3.24,13.62,8.76
31768420010733,37.987503,15.675,11.606251,3.24,13.62,8.76
31768430010733,37.893753,15.168751,12.243751,3.24,13.62,8.76
31768440010733,37.21875,13.687501,11.137501,3.24,13.62,8.76
31768450010733,36.80625,15.01875,11.306251,3.24,13.62,8.76
31768460010733,37.575,16.3875,13.63125,3.24,13.62,8.76
31768470010733,37.237503,16.087502,13.218751,3.24,13.62,8.76
31768480010733,37.350002,15.6,11.681251,3.24,13.62,8.76
31768490010733,37.7625,17.2875,12.50625,3.24,13.62,8.76
31768500010733,38.79375,15.7875,11.8125,3.24,13.62,8.76
31768510010733,38.9625,16.06875,12.712501,3.24,13.62,8.76
31768520010733,36.46875,15.975,12.243751,3.24,13.62,8.76
31768530010733,39.318752,17.868752,10.762501,3.24,13.62,8.76
31768540010733,37.912502,16.181252,12.056251,3.24,13.62,8.76
31768550010733,35.98125,15.281251,9.543751,3.24,13.62,8.76
31768560010733,37.050003,16.425001,11.231251,3.24,13.62,8.76
31768570010733,36.65625,14.38125,12.88125,3.24,13.62,8.76
31768580010733,36.787502,15.01875,11.75625,3.24,13.62,8.76
31768590010733,37.48125,15.243751,11.0625,3.24,13.62,8.76
31768600010733,38.625,15.637501,11.38125,3.24,13.62,8.76
31768610010733,37.443752,16.237501,12.262501,3.24,13.62,8.76
31768620010733,36.581253,15.4875,11.00625,3.24,13.62,8.76
31768630010733,39.018753,16.06875,10.856251,3.24,13.62,8.76
31768640010733,37.256252,16.087502,12.6,3.24,13.62,8.76
31768650010733,36.956253,14.2875,12.69375,3.24,13.62,8.76
31768660010733,36.6375,15.88125,11.306251,3.24,13.62,8.76
31768670010733,35.381252,15.075001,12.243751,3.24,13.62,8.76
31768680010733,36.487503,16.237501,12.69375,3.24,13.62,8.76
31768690010733,37.706253,15.01875,12.1125,3.24,13.62,8.76
31768700010733,37.256252,15.843751,11.0625,3.24,13.62,8.76
31768710010733,40.0125,15.825001,12.58125,3.24,13.62,8.76
31768720010733,36.7125,16.3875,11.7375,3.24,13.62,8.76
31768730010733,37.818752,16.29375,10.5375,3.24,13.62,8.76
31768740010733,36.675003,15.76875,14.3625,3.24,13.62,8.76
31768750010733,37.875,14.793751,10.575001,3.24,13.62,8.76
31768760010733,36.487503,14.475,13.81875,3.24,13.62,8.76
31768770010733,37.162502,14.700001,12.806251,3.24,13.62,8.76
31768780010733,38.0625,16.575,14.325001,3.24,13.62,8.76
31768790010733,38.15625,14.700001,11.00625,3.24,13.62,8.76
31768800010733,37.068752,14.925,12.187501,3.24,13.62,8.76
31768810010733,38.643753,14.26875,13.106251,3.24,13.62,8.76
31768820010733,36.487503,14.475,13.35,3.24,13.62,8.76
31768830010733,37.4625,14.7375,13.387501,3.24,13.62,8.76
31768840010733,35.79375,15.76875,12.468751,3.24,13.62,8.76
31768850010733,38.0625,14.19375,11.493751,3.24,13.62,8.76
31768860010733,36.9,14.025001,12.69375,3.24,13.62,8.76
31768870010733,34.78125,15.88125,11.212501,3.24,13.62,8.76
31768880010733,36.3375,15.337501,13.031251,3.24,13.62,8.76
31768890010733,35.831253,15.262501,13.875001,3.24,13.62,8.76
31768900010733,37.631252,15.637501,13.031251,3.24,13.62,8.76
31768910010733,37.575,16.875,11.625,3.24,13.62,8.76
31768920010733,38.11875,17.325,11.38125,3.24,13.62,8.76
31768930010733,39.7125,15.543751,10.78125,3.24,13.62,8.76
31768940010733,37.3125,16.987501,15.337501,3.24,13.62,8.76
31768950010733,38.41875,15.243751,10.8,3.24,13.62,8.76
31768960010733,39.84375,15.937501,13.51875,3.24,13.62,8.76
31768970010733,40.518753,17.268751,9.4125,3.24,13.62,8.76
31768980010733,39.28125,16.725,10.950001,3.24,13.62,8.76
31768990010733,39.0,16.06875,11.625,3.24,13.62,8.76
31769000010733,37.7625,16.03125,10.856251,3.24,13.62,8.76
31769010010733,38.90625,14.418751,10.462501,3.24,13.62,8.76
31769020010733,39.05625,15.58125,11.793751,3.24,13.62,8.76
31769030010733,39.037502,16.44375,7.4625,3.24,13.62,8.76
31769040010733,35.362503,16.087502,13.44375,3.24,13.62,8.76
31769050010733,37.65,14.38125,11.0625,3.24,13.62,8.76
31769060010733,36.300003,16.35,14.55,3.24,13.62,8.76
31769070010733,38.925003,15.675,11.64375,3.24,13.62,8.76
31769080010733,35.4,16.462502,13.875001,3.24,13.62,8.76
31769090010733,36.300003,13.81875,11.400001,3.24,13.62,8.76
31769100010733,35.1375,15.675,13.33125,3.24,13.62,8.76
31769110010733,37.4625,14.475,12.31875,3.24,13.62,8.76
31769120010733,36.2625,15.825001,12.88125,3.24,13.62,8.76
31769130010733,37.65,15.39375,11.19375,3.24,13.62,8.76
31769140010733,35.41875,16.462502,13.425,3.24,13.62,8.76
31769150010733,37.125,15.187501,11.868751,3.24,13.62,8.76
31769160010733,36.80625,16.275002,12.95625,3.24,13.62,8.76
31769170010733,37.725002,16.03125,11.925,3.24,13.62,8.76
31769180010733,37.725002,16.03125,11.925,3.24,13.62,8.76
31769190010733,37.0125,14.55,11.90625,3.24,13.62,8.76
31769200010733,36.75,14.64375,11.00625,3.24,13.62,8.76
31769210010733,36.825,15.76875,9.75,3.24,13.62,8.76
31769220010733,36.393753,14.343751,10.762501,3.24,13.62,8.76
31769230010733,36.9375,15.918751,11.71875,3.24,13.62,8.76
31769240010733,37.575,15.13125,11.981251,3.24,13.62,8.76
31769250010733,38.643753,16.650002,11.043751,3.24,13.62,8.76
31769260010733,38.287502,15.337501,10.35,3.24,13.62,8.76
31769270010733,38.175003,15.075001,12.825001,3.24,13.62,8.76
31769280010733,37.143753,14.94375,10.03125,3.24,13.62,8.76
31769290010733,39.2625,16.725,11.7375,3.24,13.62,8.76
31769300010733,38.60625,15.637501,11.681251,3.24,13.62,8.76
31769310010733,38.5875,16.3875,11.512501,3.24,13.62,8.76
31769320010733,38.86875,15.7875,9.337501,3.24,13.62,8.76
31769330010733,38.49375,15.13125,12.7875,3.24,13.62,8.76
31769340010733,38.831253,14.793751,10.293751,3.24,13.62,8.76
31769350010733,36.61875,14.38125,13.500001,3.24,13.62,8.76
31769360010733,37.350002,14.981251,13.2375,3.24,13.62,8.76
31769370010733,37.537502,16.5,10.875,3.24,13.62,8.76
31769380010733,36.206253,14.437501,12.31875,3.24,13.62,8.76
31769390010733,37.350002,15.6,11.681251,3.24,13.62,8.76
31769400010733,37.3125,15.337501,11.700001,3.24,13.62,8.76
31769410010733,38.268753,15.6,12.4875,3.24,13.62,8.76
31769420010733,37.85625,14.531251,9.806251,3.24,13.62,8.76
31769430010733,37.6875,16.03125,13.012501,3.24,13.62,8.76
31769440010733,36.7125,15.13125,10.087501,3.24,13.62,8.76
31769450010733,38.25,15.6,12.806251,3.24,13.62,8.76
31769460010733,36.675003,15.13125,11.15625,3.24,13.62,8.76
31769470010733,35.68125,14.868751,11.90625,3.24,13.62,8.76
31769480010733,37.818752,14.531251,11.19375,3.24,13.62,8.76
31769490010733,36.3375,16.087502,11.793751,3.24,13.62,8.76
31769500010733,37.425003,15.225,12.6,3.24,13.62,8.76
31769510010733,37.29375,15.093751,11.25,3.24,13.62,8.76
31769520010733,39.412502,15.750001,11.587501,3.24,13.62,8.76
31769530010733,38.850002,15.168751,11.6625,3.24,13.62,8.76
31769540010733,36.73125,14.625001,11.775001,3.24,13.62,8.76
31769550010733,37.5,14.7375,12.3,3.24,13.62,8.76
31769560010733,37.40625,14.981251,11.85,3.24,13.62,8.76
31769570010733,38.25,15.337501,11.7375,3.24,13.62,8.76
31769580010733,38.60625,15.637501,11.681251,3.24,13.62,8.76
31769590010733,38.60625,16.143751,9.675,3.24,13.62,8.76
31769600010733,38.71875,16.275002,11.34375,3.24,13.62,8.76
31769610010733,38.98125,16.06875,11.94375,3.24,13.62,8.76
31769620010733,35.5125,15.731251,11.90625,3.24,13.62,8.76
31769630010733,37.631252,15.637501,12.712501,3.24,13.62,8.76
31769640010733,38.1375,16.331251,10.5,3.24,13.62,8.76
31769650010733,38.943752,15.675,11.34375,3.24,13.62,8.76
31769660010733,39.300003,16.743752,10.35,3.24,13.62,8.76
31769670010733,38.30625,15.337501,9.88125,3.24,13.62,8.76
31769680010733,38.11875,16.331251,11.1,3.24,13.62,8.76
31769690010733,37.893753,15.918751,11.45625,3.24,13.62,8.76
31769700010733,38.775,15.7875,12.1125,3.24,13.62,8.76
31769710010733,38.625,14.38125,9.4125,3.24,13.62,8.76
31769720010733,38.381252,15.993751,10.63125,3.24,13.62,8.76
31769730010733,38.98125,15.431251,8.7375,3.24,13.62,8.76
31769740010733,39.487503,17.38125,8.15625,3.24,13.62,8.76
31769750010733,39.037502,16.44375,7.4625,3.24,13.62,8.76
31769760010733,36.73125,15.39375,10.837501,3.24,13.62,8.76
31769770010733,38.325,15.337501,9.262501,3.24,13.62,8.76
31769780010733,36.2625,14.83125,12.750001,3.24,13.62,8.76
31769790010733,38.5875,15.13125,9.543751,3.24,13.62,8.76
31769800010733,38.0625,16.81875,10.63125,3.24,13.62,8.76
31769810010733,38.381252,15.225,11.56875,3.24,13.62,8.76
31769820010733,37.237503,14.700001,10.950001,3.24,13.62,8.76
31769830010733,36.75,15.01875,12.843751,3.24,13.62,8.76
31769840010733,37.612503,15.637501,13.33125,3.24,13.62,8.76
31769850010733,36.7125,15.01875,14.231251,3.24,13.62,8.76
31769860010733,36.46875,15.225,13.181251,3.24,13.62,8.76
31769870010733,37.5,14.493751,11.231251,3.24,13.62,8.76
31769880010733,37.725002,16.275002,13.312501,3.24,13.62,8.76
31769890010733,35.7,14.868751,11.137501,3.24,13.62,8.76
31769900010733,37.3875,16.987501,13.181251,3.24,13.62,8.76
31769910010733,36.412502,13.593751,11.231251,3.24,13.62,8.76
31769920010733,37.65,15.01875,13.968751,3.24,13.62,8.76
31769930010733,37.143753,14.19375,11.2875,3.24,13.62,8.76
31769940010733,38.68125,14.531251,13.556251,3.24,13.62,8.76
31769950010733,35.362503,14.83125,11.94375,3.24,13.62,8.76
31769960010733,35.325,14.83125,13.012501,3.24,13.62,8.76
31769970010733,37.237503,15.075001,12.7875,3.24,13.62,8.76
