t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=7.4 s=16.5 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-215.2 s=443.5 count=0 corridors=2"
1.580,RECOG,"SNU_R1 fix=2 d=7.3 s=16.5 count=2 corridors=2"
1.580,RECOG,"SNU_R2 fix=2 d=-215.2 s=443.5 count=0 corridors=2"
2.645,RECOG,"SNU_R1 fix=3 d=7.3 s=16.5 count=3 corridors=2"
2.645,RECOG,"SNU_R2 fix=3 d=-215.2 s=443.5 count=0 corridors=2"
3.652,RECOG,"SNU_R1 fix=4 d=7.2 s=16.4 count=4 corridors=2"
3.652,RECOG,"SNU_R2 fix=4 d=-215.1 s=443.5 count=0 corridors=2"
4.655,RECOG,"SNU_R1 fix=5 d=7.2 s=16.4 count=5 corridors=2"
4.655,RECOG,"SNU_R2 fix=5 d=-215.1 s=443.5 count=0 corridors=2"
5.652,RECOG,"SNU_R1 fix=6 d=7.1 s=16.4 count=6 corridors=2"
5.652,RECOG,"SNU_R2 fix=6 d=-215.1 s=443.5 count=0 corridors=2"
6.654,RECOG,"SNU_R1 fix=7 d=7.1 s=16.4 count=7 corridors=2"
6.654,RECOG,"SNU_R2 fix=7 d=-215.1 s=443.5 count=0 corridors=2"
7.653,RECOG,"SNU_R1 fix=8 d=7.1 s=16.4 count=8 corridors=2"
7.653,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=16.4 d=7.1 s_start=16.4"
15.000,ALIGN,"stand g=9.869 pitch=3.26 roll=64.43 bias_dps=[-0.005 0.117 -0.170] quiet=true qfrac=0.86 rot=3.61deg"
15.000,PHASE,"RIDE"
18.655,MOTION_START,"v=2.09"
19.700,DIRECTION,"AB"
24.660,ALIGN,"psi=56.92 (init) pitch=3.26 roll=64.43 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=56.92 (init) pitch=1.65 roll=64.85 blocks=1 moved_at=NaN sway_ratio=NaN"
38.650,ALIGN,"psi=91.80 (sway) pitch=1.65 roll=64.85 blocks=1 moved_at=NaN sway_ratio=12.4"
38.700,ARMED,""
41.649,SIM_ENTER,"armed=true"
41.700,MODE,"GNSS_INS->INERTIAL sim"
41.700,DISARMED,"gnss5s"
41.700,BAND_ENTER,""
48.650,ALIGN,"psi=93.98 (sway) pitch=1.65 roll=64.85 blocks=1 moved_at=NaN sway_ratio=7.5"
55.010,ALIGN,"psi=93.98 (sway) pitch=1.53 roll=64.82 blocks=2 moved_at=NaN sway_ratio=7.5"
58.650,ALIGN,"psi=93.15 (sway) pitch=1.53 roll=64.82 blocks=2 moved_at=NaN sway_ratio=8.3"
65.010,ALIGN,"psi=93.15 (sway) pitch=1.29 roll=64.80 blocks=3 moved_at=NaN sway_ratio=8.3"
68.650,ALIGN,"psi=92.09 (sway) pitch=1.29 roll=64.80 blocks=3 moved_at=NaN sway_ratio=8.6"
71.644,REVEAL,"off_by_m=6.5 distance_m=146 duration_s=31 max_err_m=6.8 sim=true armed=true"
71.700,MODE,"INERTIAL->RECOVERING"
71.700,BAND_EXIT,""
74.700,MODE,"RECOVERING->GNSS_INS"
75.010,ALIGN,"psi=92.09 (sway) pitch=1.15 roll=64.82 blocks=4 moved_at=NaN sway_ratio=8.6"
76.700,ARMED,""
78.650,ALIGN,"psi=91.81 (sway) pitch=1.15 roll=64.82 blocks=4 moved_at=NaN sway_ratio=9.1"
85.010,ALIGN,"psi=91.81 (sway) pitch=1.16 roll=64.82 blocks=5 moved_at=NaN sway_ratio=9.1"
88.650,ALIGN,"psi=91.70 (sway) pitch=1.16 roll=64.82 blocks=5 moved_at=NaN sway_ratio=9.5"
94.191,PHASE,"STOP_STAND"
95.010,ALIGN,"psi=91.70 (sway) pitch=1.22 roll=64.44 blocks=6 moved_at=NaN sway_ratio=9.5"
109.191,PHASE,"DONE"
