seq,variant,t0,mask_s,dist_m,end_m,drift_pct,rmse_m,max_m,heading_err_mean,heading_err_max,k_end,v_mean
Vfa01,plain,200.0,120.0,2320,309.9,13.36,141.5,309.9,6.43,12.1,1.0,19.3
Vfa01,plain,400.0,120.0,2276,102.2,4.49,66.5,102.4,0.47,6.4,1.0,19.0
Vfa01,plain,600.0,120.0,2880,271.8,9.44,182.2,285.1,0.17,2.8,1.0,24.0
Vfa01,plain,800.0,120.0,1685,277.0,16.44,155.2,277.0,-5.5,11.6,1.0,14.0
Vfa01,plain,1000.0,120.0,893,148.6,16.65,67.4,148.6,-9.34,15.9,1.0,7.4
Vfa01,ins,200.0,120.0,2320,368.4,15.88,165.5,368.4,6.43,12.1,1.0,19.3
Vfa01,ins,400.0,120.0,2276,223.1,9.8,90.9,223.1,0.47,6.4,1.0,19.0
Vfa01,ins,600.0,120.0,2880,496.7,17.24,239.0,496.7,0.17,2.8,1.0,24.0
Vfa01,ins,800.0,120.0,1685,1726.1,102.41,761.2,1726.1,-5.5,11.6,1.0,14.0
Vfa01,ins,1000.0,120.0,893,1977.6,221.55,779.5,1977.6,-9.34,15.9,1.0,7.4
Vfa01,gen_k1,200.0,120.0,2320,306.2,13.2,140.0,306.2,6.43,12.1,1.0,19.3
Vfa01,gen_k1,400.0,120.0,2276,102.3,4.5,66.8,102.5,0.47,6.4,1.0,19.0
Vfa01,gen_k1,600.0,120.0,2880,276.9,9.61,187.6,290.0,0.17,2.8,1.0,24.0
Vfa01,gen_k1,800.0,120.0,1685,290.3,17.23,165.1,290.3,-5.5,11.6,1.0,14.0
Vfa01,gen_k1,1000.0,120.0,893,138.6,15.52,64.2,138.6,-9.34,15.9,1.0,7.4
Vfa01,gen,200.0,120.0,2320,305.7,13.17,140.0,305.7,6.43,12.1,1.001,19.3
Vfa01,gen,400.0,120.0,2276,346.8,15.24,206.2,346.8,0.47,6.4,1.114,19.0
Vfa01,gen,600.0,120.0,2880,66.0,2.29,23.9,66.0,0.17,2.8,1.14,24.0
Vfa01,gen,800.0,120.0,1685,389.0,23.08,221.8,389.0,-5.5,11.6,1.059,14.0
Vfa01,gen,1000.0,120.0,893,135.7,15.21,62.3,135.7,-9.34,15.9,0.994,7.4
