cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,20,2.38,8.99,20,6.6,26.4,4.9,7.9,6.1,26.3,1.0,1
c10,gen_k1,20,2.26,8.4,20,6.3,24.6,5.5,7.5,5.9,24.5,1.0,1
c10,gen,20,3.28,8.94,20,8.9,25.3,5.3,10.3,8.5,25.2,1.028,14
c10,cor_k1,20,2.64,10.02,19,7.4,26.9,9.7,16.5,7.2,26.1,1.0,11
c10,cor,20,1.36,7.23,20,3.7,19.4,6.8,11.9,4.2,18.6,1.027,11
c10,cor_lm,20,1.37,7.02,20,3.8,18.9,7.0,12.0,4.2,18.1,1.026,11
c30,plain,20,4.18,7.66,20,7.6,15.3,3.2,7.8,7.5,15.4,1.0,17
c30,gen_k1,20,2.5,8.08,20,5.1,16.0,3.2,6.3,4.5,16.2,1.0,17
c30,gen,20,5.4,16.18,17,10.8,23.1,6.6,10.8,11.0,23.2,1.036,13
c30,cor_k1,20,4.62,13.4,19,8.4,18.5,9.7,13.1,8.1,18.0,1.0,11
c30,cor,20,4.24,10.78,19,7.5,15.4,6.9,9.9,7.2,15.4,1.03,13
c30,cor_lm,20,4.36,10.78,19,7.5,15.4,6.9,10.2,7.2,15.4,1.028,13
c60,plain,14,8.38,14.74,7,6.1,14.0,2.4,6.1,6.2,13.9,1.0,18
c60,gen_k1,14,4.14,17.88,12,3.4,13.7,1.8,3.4,3.5,13.6,1.0,17
c60,gen,14,7.21,20.61,9,6.0,15.0,3.8,6.1,5.9,14.9,1.018,17
c60,cor_k1,14,3.78,10.82,13,3.9,9.8,5.5,7.2,3.7,9.7,1.0,6
c60,cor,14,5.14,16.04,10,5.1,10.2,5.3,7.7,5.1,10.9,1.033,21
c60,cor_lm,14,5.14,16.05,10,5.1,10.2,5.2,7.7,5.1,10.9,1.033,21
turn,plain,20,5.64,11.39,19,7.0,15.2,2.8,7.1,6.8,15.0,1.0,13
turn,gen_k1,20,3.48,13.28,19,4.8,13.8,3.4,5.7,4.4,13.6,1.0,17
turn,gen,20,5.24,18.81,16,8.9,19.1,5.4,10.4,8.7,19.2,1.027,13
turn,cor_k1,20,4.14,13.19,19,7.6,16.9,10.4,14.2,7.6,16.2,1.0,11
turn,cor,20,3.34,16.22,18,6.5,18.1,7.9,11.9,6.6,17.4,1.019,11
turn,cor_lm,20,3.42,16.22,18,6.8,18.6,8.4,11.9,7.0,17.9,1.016,11
