run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
14,AB,turn,gen_k1,223.93,49.91,8.62,3.85,4.69,8.62,9.33,15.65,1.0,,,
14,AB,turn,gen,223.93,49.91,8.58,3.83,4.72,8.58,9.38,15.65,1.003,,,
14,AB,turn,cor_k1,223.93,49.91,11.7,5.22,10.62,14.25,10.73,15.65,1.0,,,
14,AB,turn,cor,223.93,49.91,12.6,5.63,11.23,15.02,11.6,15.65,0.994,,,
14,AB,turn,cor_lm,223.93,49.91,13.15,5.87,11.66,15.5,12.13,15.65,0.991,,,
14,AB,c30r,gen_k1,,,,,,,,,,5.530484143183457,6.39092478731206,0.43514260729283816
14,AB,c30r,gen,,,,,,,,,,5.884239113694343,6.757577016688125,0.44481892961572056
14,AB,c30r,cor_k1,,,,,,,,,,10.62285893321653,8.024755045218406,2.1430859780745446
14,AB,c30r,cor,,,,,,,,,,7.332612197534736,2.958599926909509,2.1439749924429568
14,AB,c30r,cor_lm,,,,,,,,,,7.35860988313501,3.156441725567188,2.1441323768032676
15,BA,c10,plain,268.17,66.35,5.84,2.18,2.91,5.9,6.23,15.03,1.0,,,
15,BA,c10,gen_k1,268.17,66.35,5.86,2.18,3.24,5.86,6.0,15.03,1.0,,,
15,BA,c10,gen,268.17,66.35,5.54,2.07,3.07,5.54,5.66,15.03,0.996,,,
15,BA,c10,cor_k1,268.17,66.35,5.13,1.91,6.63,13.34,5.03,15.03,1.0,,,
15,BA,c10,cor,268.17,66.35,6.25,2.33,7.22,14.17,6.15,15.03,0.997,,,
15,BA,c10,cor_lm,268.17,66.35,6.12,2.28,7.16,14.08,6.02,15.03,0.997,,,
15,BA,c30,plain,168.34,46.35,4.64,2.76,2.68,4.68,4.96,15.03,1.0,,,
15,BA,c30,gen_k1,168.34,46.35,5.44,3.23,3.1,5.44,5.6,15.03,1.0,,,
15,BA,c30,gen,168.34,46.35,5.94,3.53,3.53,5.94,6.1,15.03,1.003,,,
15,BA,c30,cor_k1,168.34,46.35,7.79,4.63,7.15,9.58,7.62,15.03,1.0,,,
