run,dir,tilt_stand_vs_ride_deg,max_block_angle_deg,moved_at_s,gate_frac,ride_psi_init_deg,ride_psi_sway_deg,ride_sway_ratio,ride_psi_lean_deg,ride_lean_best_corr,ride_psi_fit_deg,ride_fit_scale,ride_fit_rms_mps,ride_fit_n,stand_yaw_slope,stand_yaw_rms_dps,ride_yaw_slope,ride_yaw_corr,ride_yaw_rms_dps,ride_yaw_lag_s,ride_fwd_start_mps2,ride_lat_start_mps2,ride_fwd_corr,ride_fwd_slope,ride_lean_corr,ride_mean_fx_straight,ride_mean_fy_straight,error
1,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,no motion
2,AB,18.02,1.75,,0.681,88.16,90.68,9.4,114.0,0.563,106.83,1.171,1.403,222.0,0.9695,1.9,0.908,0.9156,1.84,0.1,0.339,-0.015,0.737,0.907,0.543,-0.004,0.002,
3,BA,0.83,1.08,,0.675,71.19,89.56,9.7,80.0,0.523,113.53,1.36,0.464,212.0,0.949,1.16,0.9505,0.9695,1.16,0.2,0.612,-0.203,0.84,0.968,0.521,0.046,0.009,
4,AB,1.07,0.89,,0.616,64.33,90.72,11.6,98.0,0.597,98.34,1.221,0.516,176.0,0.8371,2.13,0.8363,0.9081,2.12,0.5,0.259,-0.129,0.75,0.912,0.596,-0.007,0.002,
5,BA,0.76,0.92,,0.676,117.03,88.6,8.8,88.0,0.381,157.62,2.056,2.033,223.0,0.7161,2.06,0.7163,0.8613,2.07,0.5,0.361,0.196,0.61,0.716,0.381,0.032,0.004,
6,AB,0.14,1.34,,0.715,65.79,89.19,9.8,103.0,0.526,99.29,0.908,0.295,163.0,0.942,1.38,0.9422,0.9635,1.38,0.1,0.485,-0.21,0.78,0.975,0.516,0.02,-0.006,
7,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,no motion
8,BA,0.75,1.27,,0.536,61.99,91.1,14.0,67.0,0.475,114.02,1.433,0.353,165.0,0.6552,2.6,0.655,0.8234,2.6,0.4,0.373,-0.208,0.617,0.884,0.462,0.021,0.012,
9,AB,1.67,1.1,,0.582,62.69,88.97,15.7,104.0,0.432,83.32,1.001,0.226,192.0,0.9643,1.74,0.9629,0.9518,1.74,0.1,0.608,-0.3,0.863,0.98,0.425,0.033,0.001,
10,BA,0.89,1.7,,0.581,71.87,89.73,17.1,85.0,0.577,91.99,1.013,0.429,157.0,0.9883,1.37,0.989,0.972,1.36,0.2,0.416,-0.134,0.8,0.923,0.576,0.05,0.018,
11,AB,1.48,1.37,,0.509,70.05,88.98,32.9,109.0,0.506,98.71,0.939,0.229,139.0,1.0032,1.13,1.0025,0.9794,1.12,0.30000000000000004,0.596,-0.205,0.813,0.929,0.498,0.076,-0.0,
12,BA,1.75,0.91,,0.54,40.54,91.67,13.8,90.0,0.525,87.0,1.046,0.22,109.0,0.6103,2.79,0.6102,0.836,2.79,0.4,0.363,-0.45,0.553,0.784,0.525,0.015,0.012,
