run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
11,AB,kfpsic2d,c10,10.0,0.014,0.011,0.014,185,0.08,1.87,8.56,-1.81,1.77,-0.04,191.29,-1.32,3.65,-1.4
11,AB,kfpsic2d,c30,30.0,0.014,0.011,0.014,165,-0.24,1.88,8.29,0.46,-0.78,-0.32,171.29,-1.44,3.53,7.42
11,AB,kfpsic2d,c60,60.0,0.014,0.011,0.014,135,0.4,1.88,8.97,0.5,-0.13,0.37,141.29,0.31,2.42,3.16
11,AB,kfpsic2d,turn,100.5,0.014,0.011,0.014,94,-0.43,1.81,4.75,0.54,-0.89,-0.35,100.76,-0.07,2.31,5.81
11,AB,kfpsic_notilt,c10,10.0,0.014,0.011,0.014,185,1.11,2.2,9.08,-0.12,1.91,1.79,191.29,-0.3,3.8,0.29
11,AB,kfpsic_notilt,c30,30.0,0.014,0.011,0.014,165,0.67,2.02,8.59,2.03,-0.74,1.3,171.29,-0.53,3.67,9.0
11,AB,kfpsic_notilt,c60,60.0,0.014,0.011,0.014,135,1.46,2.37,9.23,2.08,-0.14,1.94,141.29,1.36,2.94,4.74
11,AB,kfpsic_notilt,turn,100.5,0.014,0.011,0.014,94,0.69,1.88,5.62,0.86,0.05,0.92,100.76,1.05,2.56,6.14
12,BA,robust,c10,10.0,0.013,0.017,0.013,266,2.38,4.0,12.62,0.82,2.56,3.39,271.94,2.21,3.25,0.73
12,BA,robust,c30,30.0,0.013,0.017,0.013,246,2.4,4.04,12.62,1.65,1.74,3.39,251.94,2.29,3.3,0.82
12,BA,robust,c60,60.0,0.013,0.017,0.013,216,2.5,4.16,12.62,2.61,0.78,3.39,221.94,2.34,3.38,0.01
12,BA,robust,turn,128.4,0.013,0.017,0.013,148,2.41,4.23,12.0,1.77,1.62,3.39,153.51,2.11,3.31,-1.41
12,BA,kfpsi,c10,10.0,0.013,0.017,0.013,266,2.38,4.0,12.62,0.82,2.56,3.39,271.94,2.21,3.25,0.73
12,BA,kfpsi,c30,30.0,0.013,0.017,0.013,246,1.1,3.42,11.31,1.65,0.43,2.08,251.94,0.98,2.57,0.82
12,BA,kfpsi,c60,60.0,0.013,0.017,0.013,216,0.37,3.35,10.48,2.61,-1.36,1.25,221.94,0.2,2.46,0.01
