run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
21,BA,c30,cor,187.39,52.21,14.69,7.84,6.82,14.69,15.31,15.0,1.046,,,
21,BA,c60,plain,63.61,22.21,7.78,12.24,2.74,7.79,8.36,15.0,1.0,,,
21,BA,c60,gen_k1,63.61,22.21,6.73,10.59,3.72,6.74,7.13,15.0,1.0,,,
21,BA,c60,cor_k1,63.61,22.21,5.55,8.72,4.47,5.93,6.16,15.0,1.0,,,
21,BA,c60,cor,63.61,22.21,12.08,18.98,6.15,12.08,12.71,15.0,1.028,,,
21,BA,turn,plain,98.83,31.44,8.26,8.36,2.87,8.27,8.79,15.0,1.0,,,
21,BA,turn,gen_k1,98.83,31.44,6.6,6.68,3.27,6.61,6.99,15.0,1.0,,,
21,BA,turn,cor_k1,98.83,31.44,3.18,3.22,7.01,12.5,3.82,15.0,1.0,,,
21,BA,turn,cor,98.83,31.44,8.6,8.7,5.36,10.44,9.23,15.0,1.023,,,
21,BA,c30r,gen_k1,,,,,,,,,,2.121300691037512,2.047191758381379,0.39386652209517575
21,BA,c30r,cor_k1,,,,,,,,,,9.637407736272857,8.597807840004718,1.5793757069292325
21,BA,c30r,cor,,,,,,,,,,2.486345663763051,1.0112767939108962,1.634228431570551
