seq,variant,t0,mask_s,dist_m,end_m,drift_pct,rmse_m,max_m,heading_err_mean,heading_err_max,k_end,v_mean
Vfa02,gen_k1,6600.0,120.0,844,144.0,17.06,84.6,144.0,-3.75,19.2,1.0,7.0
Vfa02,gen,300.0,120.0,3021,676.4,22.39,308.6,676.4,-12.67,25.2,1.311,25.2
Vfa02,gen,600.0,120.0,2819,862.3,30.59,474.4,862.3,10.84,24.8,1.493,23.5
Vfa02,gen,900.0,120.0,3179,291.1,9.16,168.8,291.1,4.28,7.2,1.232,26.5
Vfa02,gen,1200.0,120.0,3311,490.3,14.81,221.8,490.3,6.29,13.9,1.464,27.6
Vfa02,gen,1500.0,120.0,3033,529.6,17.46,258.1,529.6,9.68,17.6,1.219,25.3
Vfa02,gen,1800.0,120.0,3217,453.4,14.09,205.6,453.4,-8.99,19.2,1.372,26.8
Vfa02,gen,2100.0,120.0,3313,658.4,19.87,318.3,658.4,7.86,13.8,1.159,27.5
Vfa02,gen,2400.0,120.0,3211,249.0,7.75,167.4,249.0,-1.29,10.8,1.331,26.8
Vfa02,gen,2700.0,120.0,3141,204.7,6.52,169.7,253.7,-0.87,5.3,1.366,26.2
Vfa02,gen,3000.0,120.0,3201,786.2,24.56,390.3,786.2,-13.69,23.0,1.293,26.8
Vfa02,gen,3300.0,120.0,3275,175.1,5.35,115.8,175.1,-2.08,7.9,1.331,27.3
Vfa02,gen,3600.0,120.0,3002,367.6,12.25,252.0,394.0,-3.36,6.7,1.353,24.7
Vfa02,gen,3900.0,120.0,3392,632.6,18.65,284.7,632.6,9.42,23.5,1.38,28.2
Vfa02,gen,4200.0,120.0,3145,280.3,8.91,141.5,280.3,4.76,10.1,1.305,26.1
Vfa02,gen,4500.0,120.0,3566,603.6,16.93,273.8,603.6,10.97,27.5,1.279,29.6
Vfa02,gen,4800.0,120.0,3521,266.9,7.58,139.9,266.9,-4.15,14.0,1.341,29.3
Vfa02,gen,5100.0,120.0,3274,297.1,9.07,109.4,297.1,4.58,17.2,1.314,27.1
Vfa02,gen,5400.0,120.0,2844,206.6,7.26,94.5,206.6,-3.1,10.2,1.177,23.2
Vfa02,gen,5700.0,120.0,3195,561.7,17.58,275.5,561.7,-10.83,21.7,1.453,26.1
Vfa02,gen,6000.0,120.0,2858,448.4,15.69,229.1,448.4,9.14,12.5,1.163,23.7
Vfa02,gen,6300.0,120.0,1320,114.9,8.7,78.5,129.1,1.92,6.2,1.078,10.9
Vfa02,gen,6600.0,120.0,844,135.4,16.04,93.4,141.3,-3.75,19.2,0.857,7.0
