run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
20,AB,c60,cor,49.42,17.49,2.2,4.46,3.29,4.58,2.35,15.0,1.006,,,
20,AB,turn,plain,224.2,58.28,10.36,4.62,6.86,10.47,10.14,15.0,1.0,,,
20,AB,turn,gen_k1,224.2,58.28,9.71,4.33,9.03,10.99,9.36,15.0,1.0,,,
20,AB,turn,gen,224.2,58.28,11.14,4.97,9.6,11.88,10.81,15.0,1.01,,,
20,AB,turn,cor_k1,224.2,58.28,8.3,3.7,8.31,11.03,7.94,15.0,1.0,,,
20,AB,turn,cor,224.2,58.28,8.25,3.68,8.07,10.86,7.9,15.0,1.002,,,
20,AB,c30r,gen_k1,,,,,,,,,,9.451427871017804,9.389663213550424,0.42405008567687513
20,AB,c30r,gen,,,,,,,,,,10.374361423921634,10.338021794345082,0.4230832192101478
20,AB,c30r,cor_k1,,,,,,,,,,8.172701607711954,3.067383330031386,2.267817274747235
20,AB,c30r,cor,,,,,,,,,,7.7409663292984625,4.1905551849164375,2.26702727755051
21,BA,c10,plain,277.75,72.21,12.5,4.5,7.54,12.65,12.38,15.0,1.0,,,
21,BA,c10,gen_k1,277.75,72.21,11.32,4.08,7.02,11.89,11.05,15.0,1.0,,,
21,BA,c10,gen,277.75,72.21,12.36,4.45,7.27,12.66,12.15,15.0,1.007,,,
21,BA,c10,cor_k1,277.75,72.21,3.15,1.13,5.51,11.76,3.64,15.0,1.0,,,
21,BA,c10,cor,277.75,72.21,4.78,1.72,4.9,10.43,5.38,15.0,1.008,,,
21,BA,c30,plain,187.39,52.21,11.8,6.3,4.59,11.81,12.42,15.0,1.0,,,
21,BA,c30,gen_k1,187.39,52.21,9.34,4.98,4.5,9.34,9.89,15.0,1.0,,,
21,BA,c30,gen,187.39,52.21,12.88,6.87,7.14,12.88,13.38,15.0,1.018,,,
21,BA,c30,cor_k1,187.39,52.21,7.45,3.98,5.71,8.04,7.91,15.0,1.0,,,
21,BA,c30,cor,187.39,52.21,11.62,6.2,6.21,11.62,12.21,15.0,1.022,,,
21,BA,c60,plain,63.61,22.21,7.42,11.66,3.02,7.42,7.95,15.0,1.0,,,
21,BA,c60,gen_k1,63.61,22.21,8.02,12.6,5.57,8.02,8.3,15.0,1.0,,,
21,BA,c60,gen,63.61,22.21,7.1,11.16,4.8,7.1,7.39,15.0,0.991,,,
21,BA,c60,cor_k1,63.61,22.21,6.76,10.62,3.85,6.76,7.38,15.0,1.0,,,
21,BA,c60,cor,63.61,22.21,9.63,15.14,5.32,9.63,10.26,15.0,1.009,,,
21,BA,turn,plain,98.83,31.44,7.84,7.93,2.97,7.84,8.34,15.0,1.0,,,
21,BA,turn,gen_k1,98.83,31.44,8.21,8.31,5.21,8.22,8.49,15.0,1.0,,,
21,BA,turn,gen,98.83,31.44,7.13,7.21,4.4,7.13,7.41,15.0,0.99,,,
21,BA,turn,cor_k1,98.83,31.44,4.76,4.82,5.41,11.06,5.39,15.0,1.0,,,
21,BA,turn,cor,98.83,31.44,5.39,5.45,5.13,10.62,6.01,15.0,0.999,,,
21,BA,c30r,gen_k1,,,,,,,,,,4.571333525147683,4.828067494341447,0.40507651279759044
21,BA,c30r,gen,,,,,,,,,,7.36976111171222,7.544910304208118,0.41237703052384683
21,BA,c30r,cor_k1,,,,,,,,,,6.382431273880689,4.9145271499592385,1.533900956520542
21,BA,c30r,cor,,,,,,,,,,2.8388594491754087,0.15681347344485458,1.4950878957435374
