cut,variant,n,mean_med,mean_worst,n_under3,rms_med,rms_worst,drift_med,drift_worst,drift_under3,max_med,max_worst,worst_run,brg_mean_med,brg_mean_worst,brg_under3
c10,kfpsic,20,1.38,4.43,17,3.19,5.85,1.62,7.92,17,11.29,18.75,1,1.11,5.16,14
c10,kfc,20,1.67,4.29,17,3.28,5.54,2.3,7.37,13,12.86,19.19,14,2.0,5.16,14
c30,kfpsic,20,1.33,3.32,19,2.98,5.25,1.56,6.48,12,10.28,19.47,17,1.45,5.88,16
c30,kfc,20,1.17,3.03,19,2.93,5.04,1.85,7.04,14,10.19,20.83,6,1.4,5.28,15
c60,kfpsic,14,1.11,4.82,11,2.73,5.29,2.16,7.2,10,6.46,10.91,1,0.8,4.65,10
c60,kfc,14,1.41,3.84,12,2.46,4.36,2.29,7.44,10,6.28,11.35,1,0.97,4.25,11
turn,kfpsic,20,1.14,3.22,19,3.9,6.23,1.39,6.42,16,11.48,18.54,17,1.01,4.46,17
turn,kfc,20,1.21,3.34,19,3.55,5.48,1.4,2.85,20,12.2,18.94,15,0.94,3.93,18
