t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=6.2 s=14.8 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-213.4 s=443.5 count=0 corridors=2"
1.209,RECOG,"SNU_R1 fix=2 d=6.2 s=14.7 count=2 corridors=2"
1.209,RECOG,"SNU_R2 fix=2 d=-213.4 s=443.5 count=0 corridors=2"
2.195,RECOG,"SNU_R1 fix=3 d=6.3 s=14.7 count=3 corridors=2"
2.195,RECOG,"SNU_R2 fix=3 d=-213.4 s=443.5 count=0 corridors=2"
3.191,RECOG,"SNU_R1 fix=4 d=6.3 s=14.7 count=4 corridors=2"
3.191,RECOG,"SNU_R2 fix=4 d=-213.4 s=443.5 count=0 corridors=2"
4.186,RECOG,"SNU_R1 fix=5 d=6.3 s=14.7 count=5 corridors=2"
4.186,RECOG,"SNU_R2 fix=5 d=-213.4 s=443.5 count=0 corridors=2"
5.188,RECOG,"SNU_R1 fix=6 d=6.3 s=14.8 count=6 corridors=2"
5.188,RECOG,"SNU_R2 fix=6 d=-213.4 s=443.5 count=0 corridors=2"
6.188,RECOG,"SNU_R1 fix=7 d=6.2 s=14.8 count=7 corridors=2"
6.188,RECOG,"SNU_R2 fix=7 d=-213.4 s=443.5 count=0 corridors=2"
7.197,RECOG,"SNU_R1 fix=8 d=6.2 s=14.8 count=8 corridors=2"
7.197,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=14.8 d=6.2 s_start=14.8"
15.001,ALIGN,"stand g=9.870 pitch=0.00 roll=62.88 bias_dps=[-0.000 -0.006 -0.048] quiet=true qfrac=0.71 rot=0.12deg"
15.002,PHASE,"RIDE"
19.196,MOTION_START,"v=1.55"
20.200,DIRECTION,"AB"
25.200,ALIGN,"psi=71.47 (init) pitch=0.00 roll=62.88 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=71.47 (init) pitch=-0.96 roll=63.46 blocks=1 moved_at=NaN sway_ratio=NaN"
39.190,ALIGN,"psi=87.12 (sway) pitch=-0.96 roll=63.46 blocks=1 moved_at=NaN sway_ratio=4.9"
39.200,ARMED,""
45.010,ALIGN,"psi=87.12 (sway) pitch=-0.98 roll=63.41 blocks=2 moved_at=NaN sway_ratio=4.9"
49.184,SIM_ENTER,"armed=true"
49.190,ALIGN,"psi=88.44 (sway) pitch=-0.98 roll=63.41 blocks=2 moved_at=NaN sway_ratio=4.2"
49.200,MODE,"GNSS_INS->INERTIAL sim"
49.200,DISARMED,"gnss5s"
49.200,BAND_ENTER,""
59.190,ALIGN,"psi=88.85 (sway) pitch=-0.98 roll=63.41 blocks=2 moved_at=NaN sway_ratio=4.4"
65.010,ALIGN,"psi=88.85 (sway) pitch=-1.06 roll=63.41 blocks=3 moved_at=NaN sway_ratio=4.4"
69.190,ALIGN,"psi=88.68 (sway) pitch=-1.06 roll=63.41 blocks=3 moved_at=NaN sway_ratio=4.3"
75.010,ALIGN,"psi=88.68 (sway) pitch=-1.16 roll=63.47 blocks=4 moved_at=NaN sway_ratio=4.3"
79.190,ALIGN,"psi=88.69 (sway) pitch=-1.16 roll=63.47 blocks=4 moved_at=NaN sway_ratio=4.0"
85.010,ALIGN,"psi=88.69 (sway) pitch=-1.21 roll=63.47 blocks=5 moved_at=NaN sway_ratio=4.0"
87.191,REVEAL,"off_by_m=8.4 distance_m=144 duration_s=39 max_err_m=8.4 sim=true armed=true"
87.200,MODE,"INERTIAL->RECOVERING"
87.200,BAND_EXIT,""
89.190,ALIGN,"psi=89.13 (sway) pitch=-1.21 roll=63.47 blocks=5 moved_at=NaN sway_ratio=4.5"
90.200,MODE,"RECOVERING->GNSS_INS"
92.200,ARMED,""
95.010,ALIGN,"psi=89.13 (sway) pitch=-1.21 roll=63.43 blocks=6 moved_at=NaN sway_ratio=4.5"
99.190,ALIGN,"psi=89.00 (sway) pitch=-1.21 roll=63.43 blocks=6 moved_at=NaN sway_ratio=4.5"
105.010,ALIGN,"psi=89.00 (sway) pitch=-1.19 roll=63.34 blocks=7 moved_at=NaN sway_ratio=4.5"
111.183,PHASE,"STOP_STAND"
126.182,PHASE,"DONE"
